model,experiment,seq_len,horizon,architecture,shape_projection,smoothness_penalty,rmse,mae,r2,num_trades,net_pnl,hit_rate,turnover,sharpe_annualized,max_drawdown,dm_stat_vs_persistence,dm_p_value_vs_persistence,long_trades,short_trades,signal_realized_corr,edge_sign_accuracy,trade_pnl_skew,trade_pnl_kurtosis
lstm,h1_seq14_base,14,1,2x128,True,0.05,0.0245549995452165,0.0155035397037863,0.8651189243552886,399,0.6949697073517057,0.5463659147869674,0.1951100244498777,10.582908572307211,-0.0168487717120538,-5.404191970186955,6.51011931029899e-08,175,224,0.4434877441163951,0.7769423558897243,0.5860832700181161,3.6675110325185014
lstm,h1_seq7,7,1,2x128,True,0.05,0.0240459963679313,0.0151332598179578,0.87070230368107,357,0.6799697282434198,0.5210084033613446,0.1745721271393643,10.39420997601576,-0.0175274617390578,-6.7242054486804985,1.765521062679909e-11,133,224,0.45158620128559,0.7787114845938375,0.4952561749447292,3.2434453417805797
lstm,h1_seq28,28,1,2x128,True,0.05,0.0244807470589876,0.0153785273432731,0.8658107827913297,379,0.6705925975420608,0.5646437994722955,0.1853300733496332,10.217877461178452,-0.0175274617390578,-4.9601690006006125,7.043187733035694e-07,174,205,0.436656197956332,0.762532981530343,0.4903687010977768,3.417265910804519
lstm,h3_seq14,14,3,2x128,True,0.05,0.0256360340863466,0.0163079481571912,0.8529402013532433,476,0.8927258868428112,0.4705882352941176,0.232762836185819,10.881693612925822,-0.0398345958310905,-5.561762289122403,2.6706390876540812e-08,186,290,0.4499323898313676,0.7941176470588235,0.7114060832333999,4.518777601720226
lstm,h7_seq14,14,7,2x128,True,0.05,0.0303329117596149,0.0197055414319038,0.7940390168647722,720,0.8509714831037523,0.4722222222222222,0.3520782396088019,8.276117082701653,-0.0880580088605545,-1.1619560650020069,0.2452533117179312,316,404,0.3632875156057432,0.6805555555555556,0.1387283409615391,5.022606894059088
lstm,h1_shapeoff,14,1,2x128,False,0.05,0.0241994019597768,0.0152136925607919,0.8689972468997891,408,0.6869593259480524,0.5294117647058824,0.1995110024449877,10.42778608676376,-0.0197222535514123,-5.890549462883186,3.849136342992665e-09,163,245,0.4563422267084407,0.7573529411764706,0.6370982857996745,3.5308214930491775
lstm,h1_smooth0,14,1,2x128,True,0.0,0.0244693551212549,0.0151694733649492,0.8660581844060298,395,0.6908454340883308,0.5417721518987342,0.1931540342298288,10.533357676161264,-0.0168487725281905,-5.578206570082432,2.430109735662711e-08,169,226,0.4457783795878925,0.779746835443038,0.5817970565364209,3.637839758953554
