architecture,num_layers,hidden_size,test_rmse,test_mae,test_r2,net_pnl,hit_rate,num_trades,max_drawdown,beats_best_baseline_rmse,baseline_rmse_gap,best_epoch,best_train_loss,best_val_loss,dm_stat_vs_persistence,dm_p_value_vs_persistence
2x32,2,32,0.0200364906340837,0.0131990816444158,0.932723953243176,0.061057036413066,0.4285714285714285,49,-0.006291091255929,True,-0.0006749778985976,54,0.0001711150545886,0.0002322397888817,-0.7720659683252752,0.4400753570694031
2x64,2,64,0.0201632399111986,0.0135752949863672,0.9318700976796642,0.0565665998164655,0.4375,48,-0.006291091255929,True,-0.0005482286214827,25,0.0002120930768395,0.0002335889881718,-0.6858323979078634,0.4928188037440555
2x128,2,128,0.0198334027081727,0.0130545999854803,0.934080844731378,0.0719316262588833,0.4791666666666667,48,-0.0054043725886909,True,-0.0008780658245086,37,0.0001829506260722,0.0002332666962712,-1.0228369035287264,0.3063849663390292
3x32,3,32,0.0203269850462675,0.0138143841177225,0.9307590409007775,0.0635428605298347,0.4042553191489361,47,-0.0042871786127138,True,-0.0003844834864138,46,0.0001869622270036,0.0002301215337446,-0.4988737157461965,0.6178683518941375
3x64,3,64,0.0216201413422822,0.0146871171891689,0.9216689061963074,0.0563623680624793,0.5,86,-0.0104325012406469,False,0.0009086728096008,24,0.0001974374515287,0.0002389165487189,0.6194669408397935,0.5356087939728429
3x128,3,128,0.0205815229564905,0.0140050407499074,0.9290140903367756,0.0544892476983299,0.4912280701754385,57,-0.006291091255929,True,-0.0001299455761908,2,0.000253034688403,0.0002434889233532,-0.2837894755807847,0.7765717203598725
