experiment,rmse,mae,r2,dm_stat_vs_persistence,dm_p_value_vs_persistence,num_trades,net_pnl,sharpe_annualized,turnover,hit_rate,long_trades,short_trades,signal_realized_corr,edge_sign_accuracy,max_drawdown,trade_pnl_skew,trade_pnl_kurtosis,seq_len
h1_seq7,0.0240459963679313,0.0151332598179578,0.87070230368107,-6.7242054486804985,1.765521062679909e-11,357,0.6799697282434198,10.39420997601576,0.1745721271393643,0.5210084033613446,133,224,0.45158620128559,0.7787114845938375,-0.0175274617390578,0.4952561749447292,3.2434453417805797,7
h1_seq14_base,0.0245549995452165,0.0155035397037863,0.8651189243552886,-5.404191970186955,6.51011931029899e-08,399,0.6949697073517057,10.582908572307211,0.1951100244498777,0.5463659147869674,175,224,0.4434877441163951,0.7769423558897243,-0.0168487717120538,0.5860832700181161,3.6675110325185014,14
h1_seq28,0.0244807470589876,0.0153785273432731,0.8658107827913297,-4.9601690006006125,7.043187733035694e-07,379,0.6705925975420608,10.217877461178452,0.1853300733496332,0.5646437994722955,174,205,0.436656197956332,0.762532981530343,-0.0175274617390578,0.4903687010977768,3.417265910804519,28
