tag,seq_len,horizon,num_layers,hidden_size,signal_threshold,num_folds,test_rmse,test_mae,test_r2,dm_stat_vs_persistence,dm_p_value_vs_persistence,num_trades,net_pnl,sharpe_annualized,sortino_annualized,hit_rate,turnover,max_drawdown,long_trades,short_trades,signal_realized_corr,edge_sign_accuracy
seq12_h1_l2_h128,12,1,2,128,0.0015,4,0.050481166690588,0.0335013568401336,0.3748865475281123,-31.0785537176732,0.0,8191,41.90098809929452,53.05301523129947,197.26587868967613,0.5276523013063118,0.5807572319909245,-0.0442821810126119,4753,3438,0.738737915383155,0.8067391038945184
seq12_h1_l3_h256,12,1,3,256,0.0015,4,0.0506467707455158,0.0336066409945488,0.370778449633775,-30.58233644178786,0.0,8351,41.7472119723723,52.62349265539507,184.5281219289842,0.5218536702191354,0.5921015314804311,-0.0442821810126119,4680,3671,0.7387073357932264,0.799065980122141
seq12_h1_l2_h256,12,1,2,256,0.0015,4,0.0508630275726318,0.0337898768484592,0.3653935801786153,-30.22192463535595,0.0,8427,41.74382793625123,52.93562580430732,194.6451037168015,0.5229619081523674,0.5974900737379467,-0.0442821810126119,4862,3565,0.7349408993859166,0.797436810252759
seq12_h1_l3_h128,12,1,3,128,0.0015,4,0.0507016107439994,0.0342923626303672,0.3694150864452863,-30.35519286731956,0.0,8356,41.594280522869965,52.62807070153892,204.7769515018105,0.5457156534226902,0.5924560408394781,-0.0442821810126119,5314,3042,0.7350728670925796,0.7910483484921015
seq6_h1_l3_h128,6,1,3,128,0.0015,4,0.050872154533863,0.0340786837041378,0.3646165020685376,-30.384559104240957,0.0,8112,40.956008184759426,51.71334801296408,183.83269585806295,0.5285996055226825,0.5751559841179807,-0.0442821810126119,4742,3370,0.7348663025355819,0.7990631163708086
seq6_h1_l2_h128,6,1,2,128,0.0015,4,0.0510910972952842,0.0336097851395607,0.3591356780655178,-30.14906405734385,0.0,8324,40.36314917022375,51.09432402971613,174.77632183526396,0.4965160980297933,0.5901871809415768,-0.0442821810126119,4127,4197,0.73590659961878,0.7945699183085055
seq6_h1_l3_h256,6,1,3,256,0.0015,4,0.0515032112598419,0.0338629148900508,0.3487552726573434,-30.080218297668193,0.0,8266,40.33548820618011,50.609662819228355,164.39874471902542,0.508952334865715,0.5860748723766307,-0.0442821810126119,4316,3950,0.7306488884459306,0.7949431405758529
seq6_h1_l2_h256,6,1,2,256,0.0015,4,0.0514268204569816,0.033645462244749,0.3506856902003514,-30.217923778085883,0.0,8148,40.12764886965056,50.64179240068921,165.94059506098938,0.509941089837997,0.5777084515031197,-0.0442821810126119,4191,3957,0.730953168231862,0.7994599901816397
seq168_h12_l3_h256,168,12,3,256,0.0015,3,0.0479157865047454,0.0336838774383068,0.3609310900230358,-30.340398359448567,0.0,6436,29.41250795491589,58.10437453457294,209.5447148379224,0.5259477936606588,0.6084325959538666,-0.0339015469983792,3692,2744,0.7310946425351804,0.8068676196395277
seq84_h12_l2_h256,84,12,2,256,0.0015,3,0.0471464097499847,0.0330677479505538,0.3758675918510941,-31.131651426215644,0.0,6396,28.990926263908193,58.045759379681606,207.8269973638016,0.5237648530331457,0.6046511627906976,-0.0376846908707143,3569,2827,0.728581160496034,0.8072232645403377
