experiment,rmse,mae,r2,dm_stat_vs_persistence,dm_p_value_vs_persistence,num_trades,net_pnl,sharpe_annualized,turnover,hit_rate,long_trades,short_trades,signal_realized_corr,edge_sign_accuracy,max_drawdown,trade_pnl_skew,trade_pnl_kurtosis,horizon
h1_seq14_base,0.0245549995452165,0.0155035397037863,0.8651189243552886,-5.404191970186955,6.51011931029899e-08,399,0.6949697073517057,10.582908572307211,0.1951100244498777,0.5463659147869674,175,224,0.4434877441163951,0.7769423558897243,-0.0168487717120538,0.5860832700181161,3.6675110325185014,1
h3_seq14,0.0256360340863466,0.0163079481571912,0.8529402013532433,-5.561762289122403,2.6706390876540812e-08,476,0.8927258868428112,10.881693612925822,0.232762836185819,0.4705882352941176,186,290,0.4499323898313676,0.7941176470588235,-0.0398345958310905,0.7114060832333999,4.518777601720226,3
h7_seq14,0.0303329117596149,0.0197055414319038,0.7940390168647722,-1.1619560650020069,0.2452533117179312,720,0.8509714831037523,8.276117082701653,0.3520782396088019,0.4722222222222222,316,404,0.3632875156057432,0.6805555555555556,-0.0880580088605545,0.1387283409615391,5.022606894059088,7
