section,group,horizon,common_rows,atm_column,lstm_model,baseline_model,dm_stat_overall_mse,dm_p_value_overall_mse,dm_stat_atm_mse,dm_p_value_atm_mse,model,family,region,num_columns,rmse,mae,r2,regime,regime_threshold_atm_iv,forecast_rmse,forecast_mae,forecast_r2,num_rows,num_trades,net_pnl,gross_pnl,hit_rate,turnover,sharpe_annualized,max_drawdown,long_trades,short_trades,signal_realized_corr,profit_factor,scenario,scenario_description,threshold,holding_period_bars,round_trip_cost_bps,net_pnl_compression_pct_vs_base,study,condition,test_rmse,test_mae,test_r2,variant,shape_projection_enabled,smoothness_penalty,pred_adjacent_abs_diff,pred_second_diff_abs,pred_second_diff_rms,multi_kink_fraction,avg_slope_sign_changes
bucket_region_metrics,h12,,,,,,,,,,seq48_h12_l3_h256,lstm,atm,1.0,0.0399619316995033,0.0260245907324536,0.169039226857708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bucket_region_metrics,h12,,,,,,,,,,mlp_seq48_h12,baseline,call_otm,3.0,0.0454546712722663,0.0301025089724931,0.015802768005398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bucket_region_metrics,h12,,,,,,,,,,seq48_h12_l3_h256,lstm,call_otm,3.0,0.0432408531241685,0.027509360649933,0.1093366039596632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bucket_region_metrics,h12,,,,,,,,,,mlp_seq48_h12,baseline,put_otm,3.0,0.0534658495841458,0.0417626389574807,0.2646597847310944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bucket_region_metrics,h12,,,,,,,,,,seq48_h12_l3_h256,lstm,put_otm,3.0,0.0525128665225515,0.0403956614203799,0.2906397884443344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bucket_region_metrics,h24,,,,,,,,,,mlp_seq84_h24,baseline,atm,1.0,0.0429018005803912,0.0308286492160282,0.0466261367162751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bucket_region_metrics,h24,,,,,,,,,,seq84_h24_l3_h256,lstm,atm,1.0,0.0404993553316078,0.0265191422554793,0.1504118969201402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bucket_region_metrics,h24,,,,,,,,,,mlp_seq84_h24,baseline,call_otm,3.0,0.0455582654683458,0.0302158924242106,0.0147819033166464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bucket_region_metrics,h24,,,,,,,,,,seq84_h24_l3_h256,lstm,call_otm,3.0,0.0435028637219217,0.0288176502814306,0.1016745322549489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bucket_region_metrics,h24,,,,,,,,,,mlp_seq84_h24,baseline,put_otm,3.0,0.0531608987664048,0.0408489305864303,0.2746854313046345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bucket_region_metrics,h24,,,,,,,,,,seq84_h24_l3_h256,lstm,put_otm,3.0,0.0536008885897021,0.0416537343176418,0.2626295145962511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regime_analysis,h1,,,,,,,,,,mlp_seq84_h1,baseline,,,,,,high_atm_iv,0.152946845,0.0485614422490257,0.0352028260770332,0.3698999966599497,5289.0,3331.0,3.106666992407808,4.522341992407759,0.635544881416992,0.1574494233314426,30.05111312179447,-0.0147294951885461,1031.0,2300.0,0.7851801199911765,4.158180795761118,,,,,,,,,,,,,,,,,,,
regime_analysis,h1,,,,,,,,,,seq84_h1_l2_h256,lstm,,,,,,high_atm_iv,0.152946845,0.045942129146663,0.0320836324229533,0.4360396577882014,5289.0,3061.0,3.1885216831078065,4.489446683107764,0.6775563541326364,0.1446870864057478,31.1422808927328,-0.0156656640366432,752.0,2309.0,0.7887214514302503,4.808551651518014,,,,,,,,,,,,,,,,,,,
regime_analysis,h1,,,,,,,,,,mlp_seq84_h1,baseline,,,,,,low_atm_iv,0.152946845,0.0488571435034155,0.0341423336953245,0.212830102542629,5289.0,3224.0,1.222779775359772,2.5929797753597033,0.5645161290322581,0.1523917564757043,21.45970814107465,-0.0076025237600716,2588.0,636.0,0.4313063975663767,2.6271824682666214,,,,,,,,,,,,,,,,,,,
