model,num_folds,test_rmse,test_mae,test_r2,num_trades,net_pnl,sharpe_annualized,hit_rate,turnover,long_trades,short_trades,signal_realized_corr,edge_sign_accuracy,max_drawdown,dm_stat_vs_persistence,dm_p_value_vs_persistence,seq_len,horizon
ar1_per_grid,3,0.0541940294206142,0.0367043614387512,0.171006870525608,4766,18.69695317063568,40.471648066850705,0.4051615610574905,0.4505577613915674,953,3813,0.6342448625091275,0.741502308015107,-0.096539446080353,-29.91189653048798,0.0,6,12
factor_ar_var,3,0.0542438239398873,0.0370571126744966,0.169482757963674,5519,18.716281379467475,39.34460789866642,0.3645587968834934,0.5217432406882209,743,4776,0.6201998916264061,0.7273056713172676,-0.096539446080353,-30.004350716071816,0.0,6,12
persistence,3,0.0634828731417656,0.0405175052583217,-0.1375256801308495,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,,6,12
garch_baseline,3,0.0635172577813674,0.0406973067315828,-0.1387582541280325,0,0.0,0.0,0.0,0.0,0,0,0.023699135166784,0.0,0.0,1.9044423480212784,0.05685259835564,6,12
mlp_baseline,3,0.0498063042759895,0.0351363159716129,0.3002289653357131,6489,27.893536473132293,56.84147344603026,0.4883649252581291,0.6134429948950653,3092,3397,0.7214273343020973,0.7948836492525813,-0.0432594829282422,-26.83997336185624,0.0,12,12
ar1_per_grid,3,0.0542170442640781,0.0367235951125621,0.1708005369419653,4770,18.713764201589314,40.48679084867881,0.4056603773584906,0.4509359047078843,955,3815,0.6343015041115699,0.7412997903563942,-0.096539446080353,-29.943899589897,0.0,12,12
factor_ar_var,3,0.0542758810457641,0.0370812757231973,0.1689998442846059,5524,18.710470344865325,39.292506986006714,0.3649529326574945,0.5222159198336169,744,4780,0.6200074125628648,0.7266473569876901,-0.096539446080353,-30.014404761016905,0.0,12,12
persistence,3,0.0635134801268577,0.0405402183532714,-0.1379393491822518,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,,12,12
garch_baseline,3,0.0635211229246974,0.0405808106173888,-0.1382133499715976,0,0.0,0.0,0.0,0.0,0,0,0.0544793036605833,0.0,0.0,0.9385570815410154,0.3479581969151615,12,12
mlp_baseline,3,0.0484089851379394,0.0347703136503696,0.3394334744821988,6700,29.10884242231969,58.36405198540193,0.5174626865671642,0.6333900548307808,3908,2792,0.7261069203259275,0.7902985074626866,-0.0357043043113165,-29.205198918337324,0.0,48,12
ar1_per_grid,3,0.0542480237782001,0.0367639064788818,0.1704694066252564,4775,18.903762255930182,40.62782489439958,0.4087958115183246,0.4514085838532804,979,3796,0.6353217518383739,0.7426178010471204,-0.096539446080353,-30.0594168872757,0.0,48,12
factor_ar_var,3,0.0543057819138048,0.0371091436411954,0.1687020508245269,5530,18.8924641549715,39.40462076942116,0.3649186256781193,0.5227831348080922,760,4770,0.6206437161887743,0.7291139240506329,-0.096539446080353,-30.155742980364987,0.0,48,12
persistence,3,0.0635909736156463,0.0406086891889572,-0.139870629739871,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,,48,12
garch_baseline,3,0.0635919664254453,0.0406127292840324,-0.1399060956434208,0,0.0,0.0,0.0,0.0,0,0,0.009704382244734,0.0,0.0,0.1258685016910844,0.8998360163461501,48,12
mlp_baseline,3,0.0480937995016574,0.0344023257493972,0.3505321623485735,6691,29.038379716878577,57.7488500559768,0.5157674488118368,0.6325392323690678,3776,2915,0.7284774615058939,0.7915109849050964,-0.0364764440172464,-29.781992913747462,0.0,84,12
ar1_per_grid,3,0.0544318854808807,0.0368805974721908,0.1680710112994088,4780,19.06264613337309,40.42413048315585,0.4127615062761506,0.4518812629986765,996,3784,0.6361538338987244,0.7416317991631799,-0.096539446080353,-30.00735064822489,0.0,84,12
factor_ar_var,3,0.0544997291091489,0.0372242455605114,0.165995914159747,5542,19.02537593854761,39.24781608351162,0.3673763984121256,0.5239175647570429,776,4766,0.6211266398836212,0.7289787080476362,-0.096539446080353,-30.14610069377508,0.0,84,12
persistence,3,0.0638002306222915,0.0407421253621578,-0.1429414569340228,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,,84,12
garch_baseline,3,0.0638002910213459,0.0407435953552212,-0.1429436273532651,0,0.0,0.0,0.0,0.0,0,0,-0.0442535963283018,0.0,0.0,0.0076777793522228,0.9938740785791074,84,12
mlp_baseline,3,0.0521759949624538,0.0379659496247768,0.2422395398353539,6836,28.830521136722275,56.57588714991059,0.489467524868344,0.6462469275855549,3376,3460,0.7248195968383574,0.7870099473376243,-0.0394772649712713,-22.988145659923727,0.0,168,12
ar1_per_grid,3,0.0548828840255737,0.0371354520320892,0.1615747836381824,4784,19.574433037808447,40.83131687729428,0.417015050167224,0.4522594063149934,1055,3729,0.6389493280632452,0.7441471571906354,-0.096539446080353,-29.888223329315824,0.0,168,12
factor_ar_var,3,0.0549601980665504,0.0374798969262198,0.1592109468776121,5534,19.523733242784093,39.61171996276901,0.3695337911095049,0.5231612781244092,833,4701,0.6236208471878992,0.7325623418865197,-0.096539446080353,-30.25224955812497,0.0,168,12
persistence,3,0.0644068419933319,0.0411078743636608,-0.1546609566725709,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,,168,12
garch_baseline,3,0.0644199302641326,0.0411809902350797,-0.1551302869755919,0,0.0,0.0,0.0,0.0,0,0,0.0523487014649413,0.0,0.0,1.134077087903576,0.2567622135547713,168,12
mlp_baseline,3,0.0494707897305488,0.0345208495855331,0.3097279259348121,6669,25.53731871191724,50.94885647001339,0.4570400359874044,0.630459444129325,2585,4084,0.7018584571640092,0.7656320287899235,-0.0795126133977213,-28.743589678091173,0.0,6,24
ar1_per_grid,3,0.0544936805963516,0.0371425859630107,0.1624419476752566,4936,18.790725454509964,39.23360271413125,0.4203808752025932,0.466628852335035,1027,3909,0.6367430130101749,0.7325769854132901,-0.1566877892139651,-29.18537615839919,0.0,6,24
factor_ar_var,3,0.0545061707596364,0.0373901055450503,0.1620579969608115,5687,18.96509052567236,38.810069587247625,0.3699665904694918,0.53762525997353,826,4861,0.6187273835687201,0.7302620010550378,-0.1435137056853719,-29.554437552228325,0.0,6,24
persistence,3,0.0641035512089729,0.0414035432040691,-0.1590090837822682,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,,6,24
garch_baseline,3,0.0641133313636362,0.041456662805183,-0.1593626444688369,0,0.0,0.0,0.0,0.0,0,0,0.0451944518642982,0.0,0.0,0.8792724495494781,0.3792535701261652,6,24
mlp_baseline,3,0.050166055560112,0.0359591208398342,0.2904626571218948,6594,27.527981658334333,55.3057645792591,0.4924173491052472,0.6233692569483834,3340,3254,0.7145889675550088,0.7872308158932363,-0.0613627570554822,-27.277792706638095,0.0,12,24
ar1_per_grid,3,0.0545098260045051,0.0371606796979904,0.1622683652536899,4940,18.811763576998658,39.24533750806485,0.4202429149797571,0.4670069956513518,1030,3910,0.6367919980543215,0.7327935222672065,-0.1566877892139651,-29.205336336068907,0.0,12,24
factor_ar_var,3,0.0545221410313491,0.0374063527556756,0.1618897599235481,5688,18.98693764122868,38.838053138883474,0.3693741209563994,0.5377197958026092,828,4860,0.6188019070695002,0.7304852320675106,-0.1435137056853719,-29.582288843968627,0.0,12,24
persistence,3,0.0641250684857368,0.0414231829345226,-0.1593407219095555,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,,12,24
garch_baseline,3,0.0642123929304385,0.0418166627757988,-0.16250024325944,0,0.0,0.0,0.0,0.0,0,0,0.0486326506343062,0.0,0.0,3.013722577228342,0.0025806366668088,12,24
mlp_baseline,3,0.0492590256035327,0.03540875390172,0.3167386168664049,6732,28.31571807892655,56.805376907450494,0.5106951871657754,0.6364152013613159,3815,2917,0.7239413063559055,0.7874331550802139,-0.0535026234227551,-28.62829063240867,0.0,48,24
ar1_per_grid,3,0.0545617938041687,0.0372173152863979,0.1617135188231843,4931,19.03183827625677,39.520464155896974,0.421821131616305,0.4661561731896388,1055,3876,0.6381223442657915,0.734536605151085,-0.1566877892139739,-29.31973037274473,0.0,48,24
factor_ar_var,3,0.0545852784677618,0.0374583794972579,0.1609916901336104,5700,19.15443838435711,38.93466861551003,0.3705263157894737,0.5388542257515598,851,4849,0.6195222426270124,0.7314035087719298,-0.1435137056853719,-29.68804637131675,0.0,48,24
persistence,3,0.0642323121428489,0.0415162034332752,-0.161775840330673,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,,48,24
