experiment,rmse,mae,r2,dm_stat_vs_persistence,dm_p_value_vs_persistence,num_trades,net_pnl,sharpe_annualized,turnover,hit_rate,long_trades,short_trades,signal_realized_corr,edge_sign_accuracy,max_drawdown,trade_pnl_skew,trade_pnl_kurtosis,variant,shape_projection,smoothness_penalty
h1_seq14_base,0.0245549995452165,0.0155035397037863,0.8651189243552886,-5.404191970186955,6.51011931029899e-08,399,0.6949697073517057,10.582908572307211,0.1951100244498777,0.5463659147869674,175,224,0.4434877441163951,0.7769423558897243,-0.0168487717120538,0.5860832700181161,3.6675110325185014,base,True,0.05
h1_shapeoff,0.0241994019597768,0.0152136925607919,0.8689972468997891,-5.890549462883186,3.849136342992665e-09,408,0.6869593259480524,10.42778608676376,0.1995110024449877,0.5294117647058824,163,245,0.4563422267084407,0.7573529411764706,-0.0197222535514123,0.6370982857996745,3.5308214930491775,shape_off,False,0.05
h1_smooth0,0.0244693551212549,0.0151694733649492,0.8660581844060298,-5.578206570082432,2.430109735662711e-08,395,0.6908454340883308,10.533357676161264,0.1931540342298288,0.5417721518987342,169,226,0.4457783795878925,0.779746835443038,-0.0168487725281905,0.5817970565364209,3.637839758953554,smoothness_off,True,0.0
