experiment,model,num_folds,test_rmse,test_mae,test_r2,num_trades,net_pnl,sharpe_annualized,hit_rate,turnover,long_trades,short_trades,signal_realized_corr,edge_sign_accuracy,max_drawdown,dm_stat_vs_persistence,dm_p_value_vs_persistence
h1_seq14,mlp_baseline,5,0.0239953491836786,0.0150397829711437,0.8711971994837289,408,0.6901977973539764,10.566437904725465,0.5049019607843137,0.1995110024449877,205,203,0.4649703817456541,0.7573529411764706,-0.0117228917675488,-6.7543084138504215,1.4351853039329399e-11
h1_seq14,factor_ar_var,5,0.0271172246279578,0.0166765293152311,0.835501618047323,174,0.1550959967623109,3.2532990934447485,0.3218390804597701,0.0850855745721271,0,174,0.2332598646446459,0.6781609195402298,-0.0183333586413429,-2.8375532555882454,0.0045460762217472
h1_seq14,persistence,5,0.0279333647340536,0.0141898784786462,0.8254508951972133,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,
h1_seq14,garch_baseline,5,0.0280826915668548,0.0147651150809314,0.823579676776228,0,0.0,0.0,0.0,0.0,0,0,-0.0002558058150456,0.0,0.0,8.364793660395437,0.0
h1_seq14,ar1_per_grid,5,0.028644373640418,0.0166774541139602,0.8164519183325427,299,0.1173017023083469,2.3759329471100528,0.4180602006688963,0.1462102689486552,0,299,0.1581713249314709,0.5819397993311036,-0.0264212832815675,1.771643953873115,0.0764536785901512
h3_seq14,mlp_baseline,5,0.0258903745561838,0.0165406875312328,0.8500076981656005,440,0.8136855749721429,10.098910388427456,0.475,0.2151589242053789,179,261,0.4476342944655477,0.7909090909090909,-0.0420707060222341,-6.084403319914782,1.1692593560042042e-09
h3_seq14,factor_ar_var,5,0.0286545233833206,0.0179552720724739,0.816270598808124,221,0.1788319144995375,2.6963103085662117,0.3212669683257919,0.1080684596577017,0,221,0.2313599342514229,0.6787330316742082,-0.0601434044479575,-2.093001635975369,0.036349008516106
h3_seq14,persistence,5,0.0294309630990028,0.01579818315804,0.8061788243917242,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,
h3_seq14,garch_baseline,5,0.029451389127672,0.0158392127227742,0.8059096920592832,0,0.0,0.0,0.0,0.0,0,0,0.0131922577534065,0.0,0.0,1.202772848837878,0.2290642343244608
h3_seq14,ar1_per_grid,5,0.0300422571599483,0.0178890787065029,0.7980436939769875,344,0.2062704311980845,2.968636045462582,0.3372093023255814,0.1682151589242053,0,344,0.1975854774366168,0.6627906976744186,-0.0729256915681293,1.1669912576042705,0.2432139000919613
h7_seq14,mlp_baseline,5,0.0273262225091457,0.01792648807168,0.8328463090195295,520,1.011569106334491,10.490051808799922,0.4961538461538461,0.254278728606357,230,290,0.4475237732678342,0.7692307692307693,-0.1062491171298725,-6.7535385372800745,1.442823638342361e-11
h7_seq14,factor_ar_var,5,0.03022092140765,0.0192532839512694,0.795557040234176,253,0.2399973926592361,2.799772167496859,0.3478260869565217,0.1237163814180929,0,253,0.2754196018691299,0.6521739130434783,-0.112223690720405,-2.9132508788674407,0.0035768710815866
h7_seq14,persistence,5,0.0314739421010017,0.0181996803730726,0.7782523364669955,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,
h7_seq14,ar1_per_grid,5,0.0314903445541858,0.019252024590969,0.778021125063,360,0.2822998485991904,3.107203744622394,0.3555555555555555,0.1760391198044009,0,360,0.2512806188554079,0.6444444444444445,-0.1434031220932912,0.0286137682526058,0.9771726311034432
h7_seq14,garch_baseline,5,0.0315005464311548,0.0182964377882743,0.7778773062219787,0,0.0,0.0,0.0,0.0,0,0,-0.0046411383932072,0.0,0.0,0.9457576982941238,0.3442721860258542
